Format,RaceBox CSV
Data Source,RaceBox 25121861
Date UTC,2026-05-29T18:25:07+00:00
Date,29/05/2026
Time,06/25/07
Session Index,1
Session Type,Track
Track,Custom Track
Configuration,
Laps,12
Best Lap Time,42.761
Incomplete lap, 5.09, sectors, 0,0,0,0,5.090
Lap 1, 44.652, sectors, 8.272,17.934,11.354,0,7.092
Lap 2, 43.377, sectors, 7.734,17.604,11.056,0,6.983
Lap 3, 43.479, sectors, 7.642,17.806,11.085,0,6.946
Lap 4, 42.946, sectors, 7.62,17.384,11.011,0,6.931
Lap 5, 43.883, sectors, 7.741,18.162,11.036,0,6.944
Lap 6, 42.983, sectors, 7.562,17.346,11.103,0,6.972
Lap 7, 42.761, sectors, 7.587,17.388,10.82,0,6.966
Lap 8, 43.854, sectors, 7.596,17.525,11.746,0,6.987
Lap 9, 43.032, sectors, 7.62,17.548,10.895,0,6.969
Lap 10, 42.992, sectors, 7.505,17.386,11.127,0,6.974
Lap 11, 42.774, sectors, 7.545,17.422,10.913,0,6.894
Lap 12, 43.227, sectors, 7.871,17.526,10.921,0,6.909
Incomplete lap, 69.75, sectors, 7.576,17.306,11.194,0,33.674

Record,Time,Latitude,Longitude,Altitude (m),Speed (m/s),GForceX (g),GForceY (g),GForceZ (g),Lap,Heading
1,2026-05-29T18:25:07.700Z,50.3732062,30.4642535,177.1,14.10,-0.048,0.001,0.641,0,36.72
2,2026-05-29T18:25:07.800Z,50.3732163,30.4642656,177.1,14.16,-0.134,-0.101,0.756,0,37.42
3,2026-05-29T18:25:07.900Z,50.3732263,30.4642779,177.1,14.22,0.077,-0.074,0.629,0,37.92
4,2026-05-29T18:25:08.000Z,50.3732364,30.4642905,177.1,14.28,0.113,-0.050,0.565,0,38.37
5,2026-05-29T18:25:08.100Z,50.3732462,30.4643033,177.1,14.10,0.148,-0.063,0.525,0,39.09
6,2026-05-29T18:25:08.200Z,50.3732562,30.4643163,177.0,14.45,-0.036,-0.107,0.743,0,39.69
7,2026-05-29T18:25:08.300Z,50.3732662,30.4643295,177.0,14.55,0.104,0.030,0.409,0,40.02
8,2026-05-29T18:25:08.400Z,50.3732762,30.4643431,177.0,14.65,0.077,0.144,0.464,0,40.87
9,2026-05-29T18:25:08.500Z,50.3732859,30.4643568,177.0,14.58,0.194,0.111,0.430,0,41.98
10,2026-05-29T18:25:08.600Z,50.3732956,30.4643710,177.0,14.66,0.119,0.063,0.473,0,43.06
11,2026-05-29T18:25:08.700Z,50.3733050,30.4643855,177.0,14.62,0.179,0.103,0.467,0,44.51
12,2026-05-29T18:25:08.800Z,50.3733145,30.4644006,177.1,14.89,0.273,0.002,0.698,0,45.65
13,2026-05-29T18:25:08.900Z,50.3733236,30.4644161,177.1,14.82,0.010,-0.143,0.919,0,47.08
14,2026-05-29T18:25:09.000Z,50.3733325,30.4644321,177.0,14.99,-0.201,-0.176,0.995,0,48.49
15,2026-05-29T18:25:09.100Z,50.3733411,30.4644482,177.0,14.96,-0.270,-0.194,1.049,0,50.11
16,2026-05-29T18:25:09.200Z,50.3733493,30.4644650,177.0,15.12,-0.194,-0.282,0.979,0,52.04
17,2026-05-29T18:25:09.300Z,50.3733574,30.4644818,177.0,15.04,-0.483,-0.247,1.030,0,52.67
18,2026-05-29T18:25:09.400Z,50.3733652,30.4644994,177.0,15.13,-0.480,-0.283,0.982,0,54.96
19,2026-05-29T18:25:09.500Z,50.3733724,30.4645175,177.0,15.01,-0.458,-0.356,1.007,0,57.73
20,2026-05-29T18:25:09.600Z,50.3733791,30.4645359,177.0,15.08,-0.411,-0.418,0.848,0,60.35
21,2026-05-29T18:25:09.700Z,50.3733855,30.4645548,177.0,15.30,-0.484,-0.436,0.804,0,62.05
22,2026-05-29T18:25:09.800Z,50.3733907,30.4645743,177.0,14.98,-0.410,-0.642,0.863,0,66.82
23,2026-05-29T18:25:09.900Z,50.3733955,30.4645940,177.0,14.95,0.302,-0.562,0.485,0,68.85
24,2026-05-29T18:25:10.000Z,50.3733999,30.4646139,177.0,14.95,0.488,-0.320,0.468,0,70.97
25,2026-05-29T18:25:10.100Z,50.3734032,30.4646342,177.0,14.95,0.495,-0.376,0.549,0,75.20
26,2026-05-29T18:25:10.200Z,50.3734060,30.4646548,177.0,14.98,0.525,-0.373,0.631,0,77.70
27,2026-05-29T18:25:10.300Z,50.3734077,30.4646753,177.1,14.71,0.562,-0.322,0.604,0,81.81
28,2026-05-29T18:25:10.400Z,50.3734086,30.4646959,177.1,14.69,-0.034,-0.454,1.106,0,85.73
29,2026-05-29T18:25:10.500Z,50.3734086,30.4647165,177.1,14.63,0.033,-0.684,0.959,0,89.14
30,2026-05-29T18:25:10.600Z,50.3734080,30.4647365,177.1,14.30,0.156,-0.722,0.777,0,92.04
31,2026-05-29T18:25:10.700Z,50.3734061,30.4647567,177.2,14.39,0.074,-0.704,0.870,0,97.48
32,2026-05-29T18:25:10.800Z,50.3734045,30.4647766,177.1,14.26,0.386,-0.683,0.500,0,97.52
33,2026-05-29T18:25:10.900Z,50.3734012,30.4647961,177.2,14.38,0.462,-0.665,0.328,0,103.47
34,2026-05-29T18:25:11.000Z,50.3733975,30.4648153,177.1,14.22,0.361,-0.668,0.378,0,106.37
35,2026-05-29T18:25:11.100Z,50.3733925,30.4648335,177.1,14.02,0.133,-0.628,0.544,0,112.52
36,2026-05-29T18:25:11.200Z,50.3733871,30.4648517,177.2,14.29,0.498,-0.612,0.167,0,114.56
37,2026-05-29T18:25:11.300Z,50.3733809,30.4648693,177.1,14.26,0.445,-0.599,0.256,0,118.34
38,2026-05-29T18:25:11.400Z,50.3733741,30.4648862,177.1,14.12,0.445,-0.599,0.256,0,121.30
39,2026-05-29T18:25:11.500Z,50.3733666,30.4649022,177.1,14.08,0.277,-0.630,0.330,0,125.62
40,2026-05-29T18:25:11.600Z,50.3733587,30.4649184,177.1,14.42,0.287,-0.451,0.459,0,127.22
41,2026-05-29T18:25:11.700Z,50.3733503,30.4649333,177.1,14.12,0.055,-0.513,0.712,0,130.94
42,2026-05-29T18:25:11.800Z,50.3733410,30.4649470,177.1,14.14,-0.124,-0.641,0.803,0,136.05
43,2026-05-29T18:25:11.900Z,50.3733314,30.4649604,177.1,14.27,-0.138,-0.516,0.991,0,138.09
44,2026-05-29T18:25:12.000Z,50.3733214,30.4649732,177.1,14.32,-0.045,-0.673,0.939,0,140.35
45,2026-05-29T18:25:12.100Z,50.3733106,30.4649845,177.1,14.38,-0.149,-0.607,0.990,0,145.28
46,2026-05-29T18:25:12.200Z,50.3732998,30.4649954,177.1,14.30,-0.149,-0.607,0.990,0,147.13
47,2026-05-29T18:25:12.300Z,50.3732885,30.4650054,177.0,14.35,-0.414,-0.621,1.135,0,150.32
48,2026-05-29T18:25:12.400Z,50.3732769,30.4650142,177.1,14.24,-0.446,-0.620,1.135,0,153.35
49,2026-05-29T18:25:12.500Z,50.3732648,30.4650213,177.0,14.26,-0.477,-0.565,0.994,0,158.59
50,2026-05-29T18:25:12.600Z,50.3732526,30.4650283,177.0,14.40,-0.265,-0.551,0.781,0,159.64
51,2026-05-29T18:25:12.700Z,50.3732404,30.4650335,177.0,14.05,-0.470,-0.521,0.988,0,164.41
52,2026-05-29T18:25:12.800Z,50.3732282,30.4650379,177.0,13.96,-0.242,-0.381,0.819,1,166.62
53,2026-05-29T18:25:12.900Z,50.3732157,30.4650409,177.0,13.94,0.009,-0.188,0.637,1,170.88
54,2026-05-29T18:25:13.000Z,50.3732033,30.4650428,177.0,13.84,0.037,-0.271,0.711,1,173.91
55,2026-05-29T18:25:13.100Z,50.3731915,30.4650432,177.0,13.19,-0.030,-0.263,0.701,1,178.38
56,2026-05-29T18:25:13.200Z,50.3731796,30.4650419,177.0,13.25,0.287,-0.212,0.184,1,183.46
57,2026-05-29T18:25:13.300Z,50.3731682,30.4650400,177.0,12.86,0.105,-0.356,0.120,1,185.82
58,2026-05-29T18:25:13.400Z,50.3731571,30.4650363,177.0,12.68,-0.044,-0.450,0.068,1,191.63
59,2026-05-29T18:25:13.500Z,50.3731469,30.4650313,177.0,12.04,0.086,-0.401,0.057,1,197.05
60,2026-05-29T18:25:13.600Z,50.3731367,30.4650255,177.1,11.98,0.009,-0.327,0.148,1,200.00
61,2026-05-29T18:25:13.700Z,50.3731272,30.4650194,177.0,11.46,-0.038,-0.582,0.467,1,202.59
62,2026-05-29T18:25:13.800Z,50.3731198,30.4650113,177.0,10.32,-0.140,-0.294,0.736,1,213.21
63,2026-05-29T18:25:13.900Z,50.3731117,30.4650039,177.0,10.48,-0.143,-0.192,1.007,1,210.20
64,2026-05-29T18:25:14.000Z,50.3731045,30.4649954,177.0,10.10,-0.280,-0.085,1.110,1,217.13
65,2026-05-29T18:25:14.100Z,50.3730981,30.4649865,177.0,9.58,-0.484,-0.066,1.397,1,221.00
66,2026-05-29T18:25:14.200Z,50.3730927,30.4649771,177.0,9.07,-0.445,0.217,1.361,1,227.52
67,2026-05-29T18:25:14.300Z,50.3730880,30.4649670,177.0,8.98,-0.209,0.214,1.307,1,232.52
68,2026-05-29T18:25:14.400Z,50.3730830,30.4649564,177.0,9.27,-0.101,-0.036,1.299,1,234.71
69,2026-05-29T18:25:14.500Z,50.3730804,30.4649451,177.0,8.69,-0.027,-0.091,1.249,1,247.04
70,2026-05-29T18:25:14.600Z,50.3730777,30.4649339,177.0,8.62,0.187,-0.382,1.016,1,248.81
71,2026-05-29T18:25:14.700Z,50.3730767,30.4649221,177.0,8.50,0.181,-0.507,1.008,1,260.43
72,2026-05-29T18:25:14.800Z,50.3730765,30.4649102,176.9,8.49,-0.019,-0.740,1.143,1,266.83
73,2026-05-29T18:25:14.900Z,50.3730764,30.4648982,176.9,8.54,-0.272,-0.630,1.055,1,269.06
