Format,RaceBox CSV
Data Source,RaceBox 25121861
Date UTC,2026-05-29T18:52:22+00:00
Date,29/05/2026
Time,06/52/22
Session Index,3
Session Type,Track
Track,Custom Track
Configuration,
Laps,14
Best Lap Time,42.636
Incomplete lap, 6.323, sectors, 0,0,0,0,6.323
Lap 1, 46.974, sectors, 8.02,17.572,12.464,0,8.918
Lap 2, 43.133, sectors, 7.538,17.411,11.195,0,6.989
Lap 3, 42.9, sectors, 7.528,17.277,11.213,0,6.882
Lap 4, 42.972, sectors, 7.49,17.394,11.14,0,6.948
Lap 5, 43.019, sectors, 7.516,17.473,11.111,0,6.919
Lap 6, 42.722, sectors, 7.476,17.303,11.07,0,6.873
Lap 7, 42.828, sectors, 7.544,17.33,11.046,0,6.908
Lap 8, 43.047, sectors, 7.611,17.509,11.032,0,6.895
Lap 9, 42.765, sectors, 7.59,17.291,10.993,0,6.891
Lap 10, 42.636, sectors, 7.579,17.259,10.971,0,6.827
Lap 11, 47.63, sectors, 7.584,17.392,15.402,0,7.252
Lap 12, 43.249, sectors, 7.664,17.637,11.024,0,6.924
Lap 13, 42.746, sectors, 7.478,17.324,11.074,0,6.870
Lap 14, 42.798, sectors, 7.607,17.317,11.03,0,6.844
Incomplete lap, 66.458, sectors, 8.687,0,21.711,0,36.060

Record,Time,Latitude,Longitude,Altitude (m),Speed (m/s),GForceX (g),GForceY (g),GForceZ (g),Lap,Heading
1,2026-05-29T18:52:22.200Z,50.3734478,30.4648111,182.8,1.77,0.224,0.077,0.979,0,293.39
2,2026-05-29T18:52:22.300Z,50.3734484,30.4648085,182.8,1.83,0.277,0.053,0.950,0,291.46
3,2026-05-29T18:52:22.400Z,50.3734493,30.4648055,182.9,2.21,0.138,-0.101,0.957,0,293.06
4,2026-05-29T18:52:22.500Z,50.3734499,30.4648023,182.9,2.33,0.054,0.048,0.917,0,290.32
5,2026-05-29T18:52:22.600Z,50.3734508,30.4647989,182.9,2.56,-0.060,-0.002,0.865,0,290.79
6,2026-05-29T18:52:22.700Z,50.3734516,30.4647954,182.9,2.74,-0.052,-0.013,0.857,0,289.66
7,2026-05-29T18:52:22.800Z,50.3734521,30.4647916,182.8,2.84,-0.264,-0.032,0.950,0,286.81
8,2026-05-29T18:52:22.900Z,50.3734529,30.4647874,182.7,3.07,0.045,0.058,0.871,0,286.08
9,2026-05-29T18:52:23.000Z,50.3734536,30.4647826,182.7,3.45,-0.024,-0.049,0.896,0,284.30
10,2026-05-29T18:52:23.100Z,50.3734542,30.4647778,182.6,3.48,0.035,-0.007,0.870,0,282.33
11,2026-05-29T18:52:23.200Z,50.3734549,30.4647723,182.6,3.95,-0.165,-0.023,0.982,0,281.30
12,2026-05-29T18:52:23.300Z,50.3734554,30.4647667,182.6,4.03,0.036,0.052,0.912,0,279.30
13,2026-05-29T18:52:23.400Z,50.3734558,30.4647606,182.5,4.29,-0.182,0.081,0.968,0,276.97
14,2026-05-29T18:52:23.500Z,50.3734556,30.4647542,182.5,4.56,-0.066,0.125,0.954,0,271.02
15,2026-05-29T18:52:23.600Z,50.3734556,30.4647475,182.5,4.68,-0.136,0.136,0.971,0,269.26
16,2026-05-29T18:52:23.700Z,50.3734550,30.4647407,182.4,4.77,0.125,0.145,0.923,0,264.16
