Format,RaceBox CSV
Data Source,RaceBox 25121861
Date UTC,2026-05-29T19:06:25+00:00
Date,29/05/2026
Time,07/06/25
Session Index,4
Session Type,Track
Track,Custom Track
Configuration,
Laps,14
Best Lap Time,43.125
Incomplete lap, 5.123, sectors, 0,0,0,0,5.123
Lap 1, 45.523, sectors, 8.885,18.257,11.461,0,6.920
Lap 2, 43.743, sectors, 7.669,17.886,11.248,0,6.940
Lap 3, 43.64, sectors, 7.66,17.735,11.278,0,6.967
Lap 4, 43.548, sectors, 7.699,17.765,11.101,0,6.983
Lap 5, 44.499, sectors, 7.697,18.016,11.84,0,6.946
Lap 6, 43.436, sectors, 7.765,17.753,11.017,0,6.901
Lap 7, 43.737, sectors, 7.607,18.084,11.234,0,6.812
Lap 8, 43.168, sectors, 7.63,17.63,11.147,0,6.761
Lap 9, 43.472, sectors, 7.896,17.585,11.229,0,6.762
Lap 10, 43.568, sectors, 7.666,17.91,11.289,0,6.703
Lap 11, 43.441, sectors, 7.645,17.727,11.404,0,6.665
Lap 12, 43.125, sectors, 7.523,17.612,11.272,0,6.718
Lap 13, 43.472, sectors, 7.708,17.721,11.226,0,6.817
Lap 14, 43.373, sectors, 7.618,17.605,11.487,0,6.663
Incomplete lap, 63.932, sectors, 10.109,19.747,11.141,0,22.935

Record,Time,Latitude,Longitude,Altitude (m),Speed (m/s),GForceX (g),GForceY (g),GForceZ (g),Lap,Heading
1,2026-05-29T19:06:25.200Z,50.3734381,30.4646848,184.4,1.68,-0.002,-0.249,0.389,0,244.03
2,2026-05-29T19:06:25.300Z,50.3734372,30.4646824,184.4,1.91,-0.118,-0.325,0.607,0,241.53
3,2026-05-29T19:06:25.400Z,50.3734358,30.4646803,184.4,2.13,-0.184,-0.294,0.757,0,231.69
4,2026-05-29T19:06:25.500Z,50.3734343,30.4646782,184.4,2.26,-0.301,-0.331,0.940,0,227.77
5,2026-05-29T19:06:25.600Z,50.3734327,30.4646761,184.4,2.30,-0.313,-0.338,1.112,0,224.29
6,2026-05-29T19:06:25.700Z,50.3734307,30.4646744,184.3,2.48,-0.228,-0.373,1.216,0,217.05
7,2026-05-29T19:06:25.800Z,50.3734286,30.4646729,184.3,2.56,-0.120,-0.312,1.136,0,210.83
8,2026-05-29T19:06:25.900Z,50.3734260,30.4646721,184.2,2.92,-0.090,-0.351,1.213,0,199.50
9,2026-05-29T19:06:26.000Z,50.3734233,30.4646713,184.2,3.01,0.068,-0.229,1.078,0,195.35
10,2026-05-29T19:06:26.100Z,50.3734201,30.4646713,184.2,3.42,0.012,-0.184,1.120,0,186.09
11,2026-05-29T19:06:26.200Z,50.3734172,30.4646724,184.1,3.35,0.010,-0.157,0.985,0,176.88
12,2026-05-29T19:06:26.300Z,50.3734140,30.4646733,184.1,3.61,0.016,-0.117,1.009,0,172.71
13,2026-05-29T19:06:26.400Z,50.3734108,30.4646754,184.1,3.85,-0.035,-0.055,1.074,0,164.82
14,2026-05-29T19:06:26.500Z,50.3734077,30.4646782,184.1,4.03,-0.020,-0.056,1.070,0,157.43
15,2026-05-29T19:06:26.600Z,50.3734044,30.4646815,184.1,4.29,0.032,-0.035,1.109,0,150.70
